"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 16:33:17 UTC 2022","Thu Jul 07 16:33:19 UTC 2022","1841","","","Addresses Controller @makeAddressesController @makeOrders","","","successful put address @putAddressController @crudAddresses",""
"passed","Thu Jul 07 16:33:15 UTC 2022","Thu Jul 07 16:33:17 UTC 2022","2041","","","Addresses Controller @makeAddressesController @makeOrders","","","Successful post address @postAddressController @crudAddresses",""
"passed","Thu Jul 07 16:33:21 UTC 2022","Thu Jul 07 16:33:22 UTC 2022","1813","","","Addresses Controller @makeAddressesController @makeOrders","","","Successful get address @getAddressController @crudAddresses",""
"passed","Thu Jul 07 16:33:19 UTC 2022","Thu Jul 07 16:33:21 UTC 2022","1834","","","Addresses Controller @makeAddressesController @makeOrders","","","successful delete address @deleteAddressController @crudAddresses",""
