"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 16:38:02 UTC 2022","Thu Jul 07 16:38:04 UTC 2022","1836","","","Addresses Controller @makeAddressesController @makeOrders","","","Successful get address @getAddressController @crudAddresses",""
"passed","Thu Jul 07 16:38:00 UTC 2022","Thu Jul 07 16:38:02 UTC 2022","1855","","","Addresses Controller @makeAddressesController @makeOrders","","","successful delete address @deleteAddressController @crudAddresses",""
"passed","Thu Jul 07 16:37:56 UTC 2022","Thu Jul 07 16:37:58 UTC 2022","2006","","","Addresses Controller @makeAddressesController @makeOrders","","","Successful post address @postAddressController @crudAddresses",""
"passed","Thu Jul 07 16:37:58 UTC 2022","Thu Jul 07 16:38:00 UTC 2022","1919","","","Addresses Controller @makeAddressesController @makeOrders","","","successful put address @putAddressController @crudAddresses",""
